Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,Year
BBY BOO (REMIX),BBY BOO (REMIX),iZaak,2024-03-27,USWL12400891,1771,34.6,92573075,9510,54471531,80.0,639184,11248,,10500,102900,,31.0,668,177,14.0,850176,28.0,711373,583,311199,1,2024
What My World Spins Around,What My World Spins Around,Jordan Davis,2022-05-27,USUM72208440,1769,34.6,225128269,23133,12193936,71.0,6417626,36749,19339,3634753,33305600,8173626,26.0,309999,138,2.0,87391,7.0,126764513,9775,820952,0,2022
HOLIDAY,HOLIDAY,Lil Nas X,2020-11-13,USSM12006375,1774,34.6,551719564,101852,11132603,61.0,298362799,5071208,612523,205216366,1449949822,34528618,85.0,63905,,29.0,143928,13.0,15910741,47587,1571647,1,2020
Beautiful People (feat. Khalid),Beautiful People (feat. Khalid),Ed Sheeran,2019-06-28,GBAHS1900885,1775,34.6,1394345347,119546,43578048,66.0,634929672,4748135,672092,42325420,449458094,796384125,,439,278,,,57.0,,,,0,2019
Son Of A Sinner,Ballads Of The Broken,Jelly Roll,2021-09-17,QMRSZ2102218,1773,34.6,189577521,32091,3315491,70.0,167631264,1282588,89522,13788353,170725017,523029658,,261308,53,1.0,71,,110527184,54915,,1,2021
On My Grind,Block Music,OG Eat,2022-11-23,QZTB22230138,1767,34.6,,,,,,,,,,,,,,,,,,,30698299,0,2022
Animals,Full Circle: The Live Anthology,Maroon 5,2011-11-20,USUM71409576,1772,34.6,1365755853,183681,46890920,74.0,1285233400,8881918,632606,91997812,694003171,646244393,40.0,74610,98,45.0,252875,18.0,542517832,319847,8434236,0,2011
Kurchi Madathapetti,"Kurchi Madathapetti (From ""Guntur Kaaram"") - Single",Thaman S,2023-12-30,INA092319016,1777,34.6,43280156,1397,2069274,,123586274,1114900,,,,1464327043,2.0,24,,,,13.0,,,172357,0,2023
DNA,Love Yourself ï¿½ï¿½ï¿½,BTS,2017-09-18,KRA381702187,1778,34.5,632727904,26053,8457280,63.0,1758381885,26790883,402921,92435774,537359844,135121227,34.0,2143,8,8.0,195740,,,,1075755,0,2017
EXCESOS,Pa las Baby's Y Belikeada,Fuerza Regida,2023-10-20,QZ9QQ2300776,1785,34.5,140289944,11244,6732068,,102146155,355596,,558350,5016260,419693279,24.0,73,,13.0,6745694,1.0,8663386,2170,364193,0,2023
VVV,VVV,mikeeysmind,2023-10-21,DGA0L2303147,1782,34.5,66104800,18865,2295894,,20813530,308805,413000,17404126,144294559,1045559887,,3,,1.0,9696,,46806,86,1101523,1,2023
EL BARCO,EL BARCO,KAROL G,2021-03-25,USUM72023902,1780,34.5,304116211,21517,8048081,72.0,692863553,2439195,186881,13802946,184413760,716282244,32.0,5957,105,10.0,2012566,14.0,47500299,14392,701730,0,2021
Ahora Dice,Ahora Dice,Chris Jedi,2017-03-17,USUM71606219,1779,34.5,661732009,61561,20760337,68.0,1555093288,6076859,345,262718,1702529,177167591,25.0,3761,,27.0,386492,28.0,155137197,43246,2529986,0,2017
Breakfast Challenge Song (Slowly),Breakfast Challenge Song (Slowly),SPENCE,2021-06-22,TCAFQ2131059,1781,34.5,861521,374,206771,14.0,273898,2095,6140453,439126369,6861330893,,,,,,,,,28,215105,0,2021
Heaven,Heaven,Niall Horan,2023-02-17,USUG12300779,1784,34.5,229993968,29447,13951617,68.0,25068301,605989,76768,30680818,303361656,7773249,56.0,153416,356,19.0,243788,21.0,11303585,1836,1752464,0,2023
